Số nhị phân là gì?;;;Câu trả lời đúng là: Các số 1 và 0.
Khi phát biểu về Internet, phát biểu nào dưới đây là SAI?;;;Câu trả lời đúng là: Dịch vụ thư điện tử (email) chỉ gửi các thông điệp, không thể gửi các tệp.
Chọn đáp án sai;;;Câu trả lời đúng là: FTP (File Transfer Protocol): là phương thức truyền hình ảnh. Dịch vụ này cho phép truyền các tập tin từ máy tính này đến máy tính khác.
Một địa chỉ Web: www.google.com thì cụm từ “.com” biểu thị:;;;Câu trả lời đúng là: Thường là đuôi tên miền của các trang web thương mại, dịch vụ
Khi duyệt Web, để xem lại lịch sử Dowload, dùng tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + J
Một người đang sử dụng dịch vụ thư điện tử miễn phí của GMAIL, địa chỉ nào dưới đây được viết ĐÚNG?;;;Câu trả lời đúng là: alpha2005@gmail.com
Khi muốn gửi thư cho nhiều người, trong đó có 1 người mà bạn không muốn địa chỉ thư của họ xuất hiện trong danh sách những người nhận thư, bạn phải nhập địa chỉ thư của người đó vào:;;;Câu trả lời đúng là: Bcc
Khi duyệt Web, sử dụng "Ctrl + thanh cuộn nút Chuột giữa cuộn xuống" dùng để làm gì?;;;Câu trả lời đúng là: Thu nhỏ nội dung
Lợi thế của thư điện tử so với thư tín gửi qua đường bưu điện là:;;;Câu trả lời đúng là: Tốc độ chuyển thư nhanh.
Trong các mô hình họat động của thư điện tử, mô hình Internet cho phép các máy chủ phục vụ thư kết nối vào/với Internet và chuyển thư cho nhau qua giao thức:;;;Câu trả lời đúng là: SMTP.
Để mở nhanh lại tab vừa đóng trên trình duyệt, dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Ctrl + Shift + T
URL (Uniform Resource Locator) dùng để chỉ định cách thức liên hệ với các tài liệu ở các máy trên mạng Internet. URL chứa:;;;Câu trả lời đúng là: Giao thức ứng dụng, địa chỉ máy trên mạng, đường dẫn của tệp
Hãy chọn các câu có ý nghĩa phù hợp với nhau để hiểu rõ hơn về nguyên tắc viết một bức thư hiệu quả trong kinh doanh như sau:;;;Câu trả lời đúng là: Tất cả các đáp án
Suy nghĩ trước khi viết, đọc đi đọc lại trước khi gửi email, đó là điều được nhắc nhở đối với các nhà kinh doanh. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
﻿Khi duyệt Web, để Mở địa chỉ trang web vừa nhập trong một tab mới, dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Alt + Enter
Để soạn thảo được những bức thư trả lời khách hàng có tác dụng tích cực đúng như bạn mong muốn, bạn phải tự đặt mình vào trong một trạng thái tâm lý thích hợp-bạn đang viết thư để giải quyết khiếu nại, trả lời thắc mắc, hay cảm ơn họ vì đã mua sản phẩm/dịch vụ của bạn. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Để chuyển đổi 1 bảng Anh ra VND thì cần nhập vào hộp tìm kiếm như thế nào?;;;Câu trả lời đúng là: 1 bảng Anh = ? VND
Trong khi duyệt Web, tổ hợp phím nào dùng để ra lệnh Lưu trang hiện tại vào máy tính?;;;Câu trả lời đúng là: Ctrl + S
Khi biết một bức thư trong kinh doanh bạn cần đáp ứng yêu cầu gì:;;;Câu trả lời đúng là: Gửi đúng thời điểm
Dịch vụ Internet được cung cấp vào Việt Nam năm nào?;;;Câu trả lời đúng là: 1997.
Để chuyển đổi 1 dặm ra km thì cần nhập vào hộp tìm kiếm thế nào?;;;Câu trả lời đúng là: 1 dặm = ? km
Ưu điểm rõ ràng khi sử dụng hồ sơ điện tử, như bảng các câu hỏi trực tuyến chẳng hạn, là gì?;;;Câu trả lời đúng là: Việc tiêu thụ giấy giảm.
Cookie là gì?;;;Câu trả lời đúng là: Là các tệp tin văn bản nhỏ lưu trữ thông tin về quá trình truy xuất Internet của người dùng hoặc các thông tin cá nhân mà người dùng đã từng khai báo.
Khi duyệt Web, để Chuyển nhanh qua tab cuối cùng, dùng tổ hợp phím nào:;;;Câu trả lời đúng là: Ctrl + 9
Trong mạng Internet, để tìm kiếm nhanh trang web nói về cách thức nuôi cá Basa:;;;Câu trả lời đúng là: Chúng ta mở trang web địa chỉ www.google.com.
Máy tính kết nối và cung cấp các dịch vụ cho các máy PC khác gọi là:;;;Câu trả lời đúng là: Server (máy chủ).
Tường lửa là gì?;;;Câu trả lời đúng là: Một hệ thống bao gồm cả phần cứng và phần mềm có mục đích chống lại sự xâm nhập trái phép từ Internet.
Trang web tĩnh là trang web:;;;Câu trả lời đúng là: Có nội dung cố định, không thể tùy biến theo yêu cầu từ phía máy khách (client).
Hãy điền một cụm từ thích hợp vào chỗ trống để hoàn thành câu sau:“Các …. kèm theo sẽ rất có ích nếu nó thú vị và gây được ấn tượng, nội dung truyền tải cần có thông tin.”;;;Câu trả lời đúng là: hình ảnh minh họa
Bạn không sử dụng bí quyết nào sau đây khi viết một bức thư bán hàng hiệu quả:;;;Câu trả lời đúng là: Viết trên quan điểm, suy nghĩ của mình
Sử dụng dấu “+” khi tìm kiếm kết quả thu được sẽ:;;;Câu trả lời đúng là: Chữa những từ sau dấu “+”
Các trang Web phải có một địa chỉ duy nhất trên Internet. Nếu không có địa chỉ duy nhất thì không thể định vị rõ vị trí của Website đó. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Để chuyển đổi 1 bảng Anh ra VND thì cần nhập vào hộp tìm kiếm như thế nào?;;;The correct answers are: 1 bảng Anh -> VND, Cả 3 đáp án
Trong khi soạn thảo email nếu muốn gởi kèm file nhấn vào nút:;;;Câu trả lời đúng là: attach.
Chọn đáp án sai;;;Câu trả lời đúng là: Dịch vụ Newgroup cho phép cá nhân có thể lập ra chủ đề về lĩnh vực nào đó. Chẳng hạn như: kinh tế, giáo dục, ….
Định nghĩa nào chính xác nhất về mạng Internet về phương diện tin học?;;;Câu trả lời đúng là: Là mạng rộng có quy mô toàn cầu hoạt động dựa trên giao thức TCP/IP.
Phát biểu nào dưới đây về thư điện tử là SAI?;;;Câu trả lời đúng là: Thư điện tử luôn có độ tin cậy, an toàn tuyệt đối.
Việc đặt bố cục bức thư trong một ngữ cảnh cụ thể như vậy sẽ hướng bạn đến việc sử dụng ngôn ngữ và giọng điệu phù hợp. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Với thư điện tử, phát biểu nào sau đây là SAI?;;;Câu trả lời đúng là: Hai người có thể có địa chỉ thư giống nhau, ví dụ hoahong@yahoo.com.
Email là viết tắt của:;;;Câu trả lời đúng là: Electronic Mail.
Thuật ngữ chỉ việc mua và bán hàng qua mạng Internet là gì?;;;Câu trả lời đúng là: Thương mại điện tử (E-commerce).
Trong MS Word 2016, để Chèn ký tự đặc biệt (Symbol) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Symbol.
Trong MS Word 2016, muốn Thay đổi khổ giấy (Paper). Ví dụ: khổ giấy A4, Letter,... cho trang in, thực hiện:;;;Câu trả lời đúng là: Vào menu Layout, chọn Page Setup, sau đó chọn tab là Paper
Hãy chọn đáp án có ý nghĩa phù hợp để điền vào chỗ “……”… là bản sao đầy đủ, chính xác nội dung của văn bản và được trình bày theo thể thức nhất định. Bản sao y bản chính phải được thực hiện từ bản chính.;;;Câu trả lời đúng là: Bản sao y bản chính
Trong MS Word, để có thể đánh được Chỉ số trên cho số 2 của từ X2 cần thực hiện bôi đen số 2, sau đó nhấn tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + Shift + =
Trong MS Word,  khi đã chọn đoạn văn bản và muốn đoạn đó có định dạng gạch chân với nét đôi thực hiện nhấn tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + Shift + D.
Trong MS Word 2016, để Chèn một biểu thức tính toán (Equation) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Equation.
Trong MS Word 2016, để định dạng canh Trái (Left) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word 2016, để Chèn số trang ở lề dưới của tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Page Number, chọn Bottom of Page.
Chọn đáp án saiCác phương án nào dưới đây thuộc bước chuẩn bị của quy trình soạn thảo và ban hành văn bản:;;;Câu trả lời đúng là: Xác định chất liệu in văn bản
Hãy chọn đáp án có ý nghĩa phù hợp để điền vào chỗ “……”…… đưa ra luận chứng cùng có giá trị như nhau trong việc thể hiện chủ đề đoạn văn. Đây là đọn có câu chủ đề được hiểu ngầm, không hiện ra trong văn bản.;;;Câu trả lời đúng là: Phương pháp song hành
Trong MS Word 2016, để định dạng cỡ chữ, dạng chữ, in béo, in nghiêng, kiểu chữ, màu chữ... cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Font
Trong MS Word 2016, để Chèn Header & Footer, thực hiện:;;;Câu trả lời đúng là: Vào menu Insert
Trong MS Word 2016, để Lưu một tệp trước đó với một Tên khác, ta có thể;;;Câu trả lời đúng là: Vào menu File, chọn Save As
Câu hỏi tình huống:Hoa là sinh viên tốt nghiệp loại xuất sắc của một trường đại học danh tiếng ở Hà Nội. Sau khi tốt nghiệp, Hoa được nhận thẳng vào làm ở một doanh nghiệp về kinh doanh sắt thép. Công việc đầu tiên mà trưởng phòng kinh doanh giao cho Hoa là làm một báo cáo về tình hình sản xuất kinh doanh của công ty trong 6 tháng đầu năm. Hoa đã làm bản báo cáo với những nội dung như: Nhận xét về số người đi làm muộn của công ty trong tháng, số ngày nghỉ ốm của công nhân, số lương trung bình mà công nhân nhận được, số người nghỉ hưu và được tuyển dụng mới vào trong 6 tháng đầu năm.Với vai trò là cấp trên của Hoa khi nhận được bản báo cáo này, bạn đánh giá nội dung báo cáo của Hoa như thế nào?;;;Câu trả lời đúng là: Chưa đúng cấu trúc, nội dung của báo cáo công tác sản xuất kinh doanh được giao
Trong MS Word 2016, để Tạo mới tệp văn bản thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn New
Yêu cầu khi soạn thảo một biên bản là:;;;Câu trả lời đúng là: Tất cả các phương án còn lại
Hãy chọn đáp án có ý nghĩa phù hợp để điền vào chỗ “……”…… nêu những văn bản quy phạm pháp luật làm cơ sở pháp lý cho hợp đồng và những căn cứ thực tế trao đổi giữa các chủ thể để thiết lập giao kết.;;;Câu trả lời đúng là: Phần căn cứ thực tế và pháp lý
Trong MS Word 2016, sau khi bôi đen toàn bộ bảng, nếu nhấn phím Delete thì điều gì xảy ra?;;;Câu trả lời đúng là: Xóa toàn bộ nội dung trong bảng, không xóa bảng.
Trong MS Word 2016, khi muốn thiết lập để trên thước đo có đơn vị là Centimeters thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Option, chọn mục Avandced để thay đổi
Trong MS Word 2016, để Chèn một sơ đồ tổ chức (SmartArt) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn SmartArt.
Trong MS Word, khi đang soạn thảo văn bản để xác định tổng số trang của văn bản hiện hành quan sát ở:;;;Câu trả lời đúng là: Thanh trạng thái.
Trong MS Word, muốn sao chép định dạng của một dòng văn bản nào đó thì bôi đen dòng đó, sau đó:;;;Câu trả lời đúng là: Nhấn chuột vào biểu tượng Format Painter trên thanh công cụ.
Trong MS Word, để Tìm kiếm và Thay thế từ đó bằng từ khác trong văn bản dùng tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + H
Trong MS Word, để viết hoa các ký tự đầu các từ của đoạn văn bản đã chọn, dùng tổ hợp phím:;;;Câu trả lời đúng là: Shift + F3
Trong MS Word 2016, khi muốn Thay đổi văn bản có khổ giấy theo hướng Dọc thì thực hiện:;;;Câu trả lời đúng là: Vào menu Layout, chọn Oriention và chọn Portraint
Trong MS Word 2016, để định dạng canh Phải (Right) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word 2016, để In tệp thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Print
Trong MS Word, khi một từ không có trong từ điển mặc định, nó sẽ được biểu thị thế nào trên màn hình?;;;Câu trả lời đúng là: Có đường lượn sóng màu đỏ phía dưới.
Trong MS Word, để định dạng tăng khoảng cách giữa các dòng trong một đoạn văn bản lên gấp đôi (Double), sử dụng tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + 2
Trong MS Word 2016, để định dạng kiểu chữ Nghiêng (Italic) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Điền từ thích hợp vào chỗ “……”“Kỹ thuật soạn thảo văn bản là những quy tắc, những yêu cầu trong quá trình soạn thảo văn bản một cách liên tục từ khi …… đến khi soạn thảo và chuyển văn bản đến nơi thi hành.”;;;Câu trả lời đúng là: chuẩn bị soạn thảo
Trong MS Word 2016, để định dạng Màu chữ (Font Color) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Hợp đồng là sự thỏa thuận giữa hai hay nhiều bên bằng văn bản trong đó hai bên ký với nhau lập một qun hệ pháp lý về quyền lợi hay nghĩa vụ. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong MS Word 2016, muốn Thay đổi Paragraph thực hiện:;;;Câu trả lời đúng là: Vào menu Layout.
Hãy chọn đáp án có ý nghĩa phù hợp để điền vào chỗ “……”… là bản sao đầy đủ, chính xác nội dung của văn bản, được thực hiện từ bản sao y bản chính và trình bày theo thể thức nhất định.;;;Câu trả lời đúng là: Bản sao lục
Trong MS Word, để lưu một tệp đang được lưu trước đó với một Tên khác, thực hiện nhấn phím:;;;Câu trả lời đúng là: F12
Trong MS Word, sau khi sử dụng chức năng Undo (Ctrl + Z), để quay lại bước trước khi nhấn Undo dùng tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + Y
Trong MS Word, để chuyển đoạn văn bản được chọn từ chữ thường sang các từ in hoa, dùng tổ hợp phím:;;;Câu trả lời đúng là: Shift + F3 (2 lần)
Cấu trúc văn bản hành chính gồm hai phần: phần mở đầu và phần kết thúc. Đúng hay sai?;;;Câu trả lời đúng là: Sai
Chọn đáp án đúngVăn bản hành chính thường được sử dụng:;;;Câu trả lời đúng là: Tính từ
Trong MS Word, tổ hợp phím được dùng để Đóng tài liệu đang mở?;;;Câu trả lời đúng là: Alt + F4
Chọn đáp án đúngVăn bản hành chính thường không sử dụng:;;;Câu trả lời đúng là: Tất cả các phương án còn lại
Trong MS Word, muốn chuyển đổi giữa hai chế độ gõ là chế độ gõ chèn và chế độ gõ đè, thực hiện bấm phím nào trên bàn phím:;;;Câu trả lời đúng là: Insert
Trong Ms Word, muốn ẩn hoặc hiện thanh công cụ Ribbon, người sử dụng dùng tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + F1
Trong MS Word, muốn di chuyển từ 1 ô này sang ô kế tiếp về bên phải của một bảng (Table) ta bấm phím:;;;Câu trả lời đúng là: Tab
Trong MS Word 2016, để định dạng Chỉ số Dưới (Subscript) thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word 2016, để Chèn hình vẽ (Shapes) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Shapes.
Trong MS Word, đang gõ dòng chữ "Cộng hòa xã hội chủ nghĩa Việt Nam" bằng font chữ Times New Roman, Unicode, khẳng định nào sau đây là ĐÚNG?;;;Câu trả lời đúng là: Để hiển thị đúng bằng font .Vn times, bạn cần sử dụng một phần mềm, ví dụ như Vietkey Office hoặc Unikey để chuyển đổi mã.
Trong MS Word, phím nào để xoá ký tự đứng Sau con trỏ?;;;Câu trả lời đúng là: Delete.
Trong MS Word, tổ hợp phím được dùng để chèn trường SỐ TRANG?;;;Câu trả lời đúng là: Alt + Shift + P
Trong MS Word, khi con trỏ văn bản ở ô cuối cùng của bảng. Nếu muốn thêm dòng mới cho bảng, sử dụng phím nào dưới đây.;;;Câu trả lời đúng là: Tab
Trong MS Word 2016, để Chèn ngày và giờ (Date & Time) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Date & Time.
Trong MS Word 2016, để định dạng kiểu chữ Đậm (Bold) cho văn bản,  thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word 2016, để định dạng Màu nền (Text Highlight Color) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word, để thuận tiện hơn trong khi định dạng (Ví dụ: thay đổi kích thước lề trái, lề phải, …), có thể khai báo đơn vị đo:;;;Câu trả lời đúng là: Centimeters.
Trong MS Word 2016, để phóng to hoặc thu nhỏ (Zoom) nội dung trong văn bản, thực hiện;;;Câu trả lời đúng là: Vào menu View, chọn Zoom
Trong MS Word 2016, để định dạng Chỉ số Trên (Superscript) thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word, tổ hợp phím được dùng để Đóng tài liệu đang mở?;;;Câu trả lời đúng là: Ctrl + F4
Trong MS Word 2016, để Chèn chú thích (Comment) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Comment.
Phát biểu nào sau đây là SAI?;;;Câu trả lời đúng là: MS Word được tích hợp vào Hệ điều hành Windows nên bạn không cần phải cài đặt phần mềm này.
Trong MS Word, để chèn dòng trống giữa dòng 1 và dòng 2, sau khi đã đặt con trỏ vào đầu dòng 2, phải sử dụng phím:;;;Câu trả lời đúng là: ENTER
Trong MS Word 2016, để định dạng Phông chữ (Font) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word, để Xóa định dạng lùi vào dòng thứ 2 trở đi của đoạn văn bản. Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + Shift + T
Hãy chọn đáp án sai.Phần kết luận một báo cáo có thể nếu:;;;Câu trả lời đúng là: Lời hứa hẹn của bản thân
﻿Văn bản hành chính được sử dụng với nghĩa là văn bản dùng làm công cụ quản lý và điều hành của các cơ quan dưới dạng ngôn ngữ viết, theo phong cách ngôn ngữ báo chí. Đúng hay sai?;;;Câu trả lời đúng là: Sai
Trong MS Word 2016, để Chèn một biểu đồ (Chart) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Chart.
Trong MS Word, nhấn tổ hợp phím nào sẽ thực hiện Sao chép (Copy) văn bản vào bộ nhớ đếm?;;;Câu trả lời đúng là: Ctrl + C
Trong MS Word, để định dạng khoảng cách giữa hai dòng trong đoạn là 1,5 Lines, sử dụng tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + 5
Trong MS Word, để đi đến vị trí bạn vừa chỉnh sửa, dùng tổ hợp phím:;;;Câu trả lời đúng là: Shift + F5
Trong MS Word, khi đã chọn đoạn văn bản và muốn đoạn đó có định dạng gạch chân các từ nhưng không gạch chân khoảng trống thực hiện nhấn tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + Shift + W.
Chọn đáp án đúngVăn bản hành chính thường được sử dụng:;;;Câu trả lời đúng là: Từ láy
Trong MS Word, khi đã chọn đoạn văn bản và muốn đoạn đó có định dạng canh phải (Right). Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + R
Hãy chọn đáp án thích hợp điền vào chỗ trống “……” để hoàn thành câu sau:“Tính …… của từ ngữ là yêu cầu nghiêm ngặt đặt ra với văn bản hành chính, vì sự mơ hồ về từ ngữ sẽ gây ra những hậu quả nghiêm trọng không lường hết được trong quá trình thực hiện các văn bản hành chính.;;;Câu trả lời đúng là: chính xác
Trong MS Word 2016, để định dạng canh Bằng hai bên (Justify) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
﻿Trong MS Word 2016, để Đóng tệp thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Close
Trong MS Word 2016, để định dạng kiểu chữ Gạch chân (Underline) cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word, tổ hợp phím được dùng để chèn trường NGÀY THÁNG?;;;Câu trả lời đúng là: Alt + Shift + D
Trong MS Word 2016, để Lưu tệp thực hiện:;;;Câu trả lời đúng là: Vào menu File, chọn Save
Trong MS Word, để Xóa định dạng lùi vào đầu dòng đoạn văn bản từ bên trái. Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + Shift + M
Hãy chọn đáp án có ý nghĩa phù hợp để điền vào chỗ “……”…… đưa ra nguyên lý làm tiền đề, sau đó phát triển, giải thích để làm rõ vấn đề ấy. Trong đoạn diễn dịch, câu chủ đề nằm ở đầu đoạn.;;;Câu trả lời đúng là: Phương pháp diễn dịch
Trong MS Word 2016, hộp định dạng kiểu dáng (Styles) nằm trên menu nào?;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word, nhấn tổ hợp phím nào sẽ thực hiện Dán (Paste) đoạn văn bản từ bộ nhớ đệm vào sau vị trí con trỏ?;;;Câu trả lời đúng là: Ctrl + V
Trong MS Word 2016, muốn Thay đổi lề (Margins). Ví dụ: Thay đổi lề trái, phải, trên, dưới, theo mẫu cho trang in, thực hiện:;;;Câu trả lời đúng là: Vào menu Layout, chọn Margins và chọn theo mẫu tương ứng
Trong MS Word 2016, để Xóa một chú thích (Delete Comment) trong văn bản. Chọn comment cần xóa và thực hiện:;;;Câu trả lời đúng là: Vào menu Review, chọn Delete
Trong MS Word 2016, để Hiển thị thước (Ruler) trong tài liệu, thực hiện;;;Câu trả lời đúng là: Vào menu View, chọn Zoom
Trong MS Word 2016, muốn Thay đổi lề (Margins). Ví dụ: Thay đổi lề trái, phải, trên, dưới, hướng giấy,… cho trang in, thực hiện:;;;Câu trả lời đúng là: Vào menu Layout, chọn Page Setup, sau đó chọn tab là Margins
Trong MS Word, phát biểu nào sau đây là SAI?;;;Câu trả lời đúng là: Chỉ được phép mở một văn bản trong phiên làm việc.
Trong MS Word, để thực hiện Ngắt trang cho văn bản để sang 1 trang mới sử dụng tổ hợp phím gì?;;;Câu trả lời đúng là: Ctrl + Enter
Trong MS Word, phát biểu nào dưới đây là SAI khi gõ tiếng Việt theo kiểu Telex:;;;Câu trả lời đúng là: gõ phím a ba lần tạo được chữ â.
Trong MS Word 2016, hỗ trợ Lưu văn bản đang soạn theo các định dạng nào?;;;Câu trả lời đúng là: *.docx, *.dot, *.html, *.txt
Trong MS Word 2016, để Chèn hộp văn bản (Textbox) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Text Box.
Để đảm bảo văn bản được ban hành đúng và có chất lượng cần đáp ứng yêu cầu:;;;Câu trả lời đúng là: Tất cả các đáp án
Trong MS Word, tiện ích trộn thư có thể sử dụng được trong trường hợp nào sau đây?;;;Câu trả lời đúng là: Muốn tạo ra ra giấy mời, giấy báo, thư từ có cùng một nội dung nhưng gửi cho nhiều người khác nhau, ở các địa chỉ khác nhau.
Hãy chọn đáp án có ý nghĩa phù hợp để điền vào chỗ “……”…… nêu từng bên giao kết, phân định vị trí giao kết. Nêu những thông tin liên quan đến chủ thể giao kết (địa chỉ, chức vụ, tài khoản chính thức, mã số thuế).;;;Câu trả lời đúng là: Phần xác lập chủ thể giao kết
Trong MS Word 2016, để Chèn chữ nghệ thuật (WordArt) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn WordArt.
Văn bản hành chính không sử dụng phong cách ngôn ngữ báo chí mà sử dụng phong cách hành chính – công vụ. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong MS Word, tổ hợp phím được dùng để mở hộp thoại định dạng Font chữ?;;;Câu trả lời đúng là: Ctrl + D
Hãy chọn đáp án có ý nghĩa phù hợp để điền vào chỗ “……”…… đưa ra những luận chứng bằng sự việc hoặc bằng số liệu, sau đó phân tích rồi khái quát, tổng hợp lại để kết luận. Với đoạn quy nạp, câu chủ đề thường nằm cuối đoạn.;;;Câu trả lời đúng là: Phương pháp quy nạp
Trong MS Word 2016, để Chèn hình ảnh (Pictures) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Pictures.
Trong MS Word 2016, khi muốn Tệp được lưu vào thư mục mặc định. Thao tác nào sau đây để thiết lập thư mục lưu trữ mặc định;;;Câu trả lời đúng là: Vào menu File | Option | Save | Default local file location…
Trong MS Word, tổ hợp phím nào để Xem văn bản trước khi in?;;;Câu trả lời đúng là: Ctrl + F2
Trong MS Word 2016, để định dạng đầu mỗi đoạn dạng Bullets cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word, tổ hợp phím nào cho phép ngay lập tức đưa con trỏ về Cuối văn bản?;;;Câu trả lời đúng là: Ctrl + End
Trong MS Word, nếu kết thúc 1 đoạn (Paragraph) và muốn sang 1 đoạn mới. Nhấn phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Enter.
Quan hệ hợp đồng được xác định bởi quyền và nghĩa vụ của hai bên, được đề cập trong văn bản hợp đồng. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong MS Word, để Định dạng lùi vào từ dòng thứ 2 trở đi của đoạn văn bản. Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + T
Trong MS Word 2016, để định dạng đầu mỗi đoạn dạng Numbering cho văn bản, thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong MS Word 2016, để Hiển thị chế độ đọc (Reading Mode) tài liệu thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu View, chọn Reading Mode.
Trong MS Word 2016, để Chèn tiêu đề phía dưới (Footer) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Footer.
Trong MS Word 2016, để Hiển thị chế độ xem trước khi in (Print Layout) thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu View, chọn Print Layout.
Trong MS Word, muốn Phục hồi (Undo) thao tác vừa thực hiện thì bấm tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + Z
Trong MS Word 2016, để định dạng canh trái, phải, giữa... cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Paragraph
Trong MS Word, tổ hợp phím được dùng để Giảm cỡ phông xuống 1 điểm?;;;Câu trả lời đúng là: Ctrl + [
Hãy chọn đáp án có ý nghĩa phù hợp để điền vào chỗ “……”…… được thể hiện thông qua các điều khoản;;;Câu trả lời đúng là: Phần nội dung thể hiện giao kết
Hãy chọn đáp án thích hợp điền vào chỗ trống “……” để hoàn thành câu sau:Công văn chỉ sử dụng vào …. của các cơ quan tổ chức doanh nghiệp, không nên dùng ngôn từ mang màu sắc tình cảm cá nhân hoặc dùng công văn để trao đổi việc riêng giữa các cá nhân.;;;Câu trả lời đúng là: việc công vụ
Trong MS Word 2016, Trong một Tệp văn bản khi soạn thảo văn bản tiếng Việt, xuất hiện đường răng cưa nằm dưới dòng văn bản, để xử lý không còn hiện tượng đó, phải thực hiện lần lượt các thao tác:;;;Câu trả lời đúng là: Vào menu File, chọn Option, tiếp theo chọn Proofing. Thực hiện bỏ 2 lựa chọn: Check spelling as you type và Check grammar with spelling
Văn bản hành chính không sử dụng các biện pháp tu từ để đảm bảo tính chất thể chế nghiêm chỉnh của giất tờ, văn kiện hành chính. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
Trong MS Word, tổ hợp phím nào sẽ dùng để bật hộp thoại Tìm kiếm?;;;Câu trả lời đúng là: Ctrl + F
Trong MS Word, khi đã chọn đoạn văn bản và muốn đoạn đó có định dạng canh bằng hai bên (Justified). Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + J
Trong MS Word, nhấn tổ hợp phím nào sẽ thực hiện Cắt (Cut) văn bản vào bộ nhớ đếm?;;;Câu trả lời đúng là: Ctrl + X
Loại câu nào mà văn bản hành chính không sử dụng:;;;Câu trả lời đúng là: Câu hỏi tu từ
